study,request_id,family,full_correct_sequence,candidate_correct_sequence,full_unique_outputs,candidate_unique_outputs,per_pair_union_sequence,conservative_oracle_correct
feasibility-14b-study03,r000,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r001,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r002,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r003,reference-chain,00,11,1,1,11,True
feasibility-14b-study03,r004,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r005,reference-chain,00,11,1,1,11,True
feasibility-14b-study03,r006,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r007,reference-chain,11,00,1,1,11,True
clarification-0.5b-study04,r000,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r001,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r002,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r003,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r004,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r005,reference-chain,11,00,1,1,11,True
clarification-0.5b-study04,r006,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r007,reference-chain,00,00,1,1,00,False
negative-fit-study04,r000,record-lookup,00,00,1,1,00,False
negative-fit-study04,r001,reference-chain,00,00,1,1,00,False
negative-fit-study04,r002,record-updates,00,11,1,1,11,True
negative-fit-study04,r003,record-lookup,00,00,1,1,00,False
negative-fit-study04,r004,reference-chain,00,00,1,1,00,False
negative-fit-study04,r005,record-updates,00,00,1,1,00,False
negative-fit-study04,r006,record-lookup,00,00,1,1,00,False
negative-fit-study04,r007,reference-chain,00,00,1,1,00,False
negative-fit-study04,r008,record-updates,00,00,1,1,00,False
negative-fit-study04,r009,record-lookup,00,11,1,1,11,True
negative-fit-study04,r010,reference-chain,00,00,1,1,00,False
negative-fit-study04,r011,record-updates,00,11,1,1,11,True
negative-fit-study04,r012,record-lookup,00,11,1,1,11,True
negative-fit-study04,r013,reference-chain,00,00,1,1,00,False
negative-fit-study04,r014,record-updates,00,11,1,1,11,True
negative-fit-study04,r015,record-lookup,00,11,1,1,11,True
negative-fit-study04,r016,reference-chain,00,00,1,1,00,False
negative-fit-study04,r017,record-updates,00,11,1,1,11,True
negative-fit-study04,r018,record-lookup,11,11,1,1,11,True
negative-fit-study04,r019,reference-chain,00,00,1,1,00,False
negative-fit-study04,r020,record-updates,00,00,1,1,00,False
negative-fit-study04,r021,record-lookup,00,00,1,1,00,False
negative-fit-study04,r022,reference-chain,00,00,1,1,00,False
negative-fit-study04,r023,record-updates,00,00,1,1,00,False
negative-fit-study04,r024,record-lookup,11,00,1,1,11,True
negative-fit-study04,r025,reference-chain,00,00,1,1,00,False
negative-fit-study04,r026,record-updates,00,11,1,1,11,True
negative-fit-study04,r027,record-lookup,11,11,1,1,11,True
negative-fit-study04,r028,reference-chain,00,00,1,1,00,False
negative-fit-study04,r029,record-updates,00,00,1,1,00,False
negative-fit-study04,r030,record-lookup,11,00,1,1,11,True
negative-fit-study04,r031,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r000,record-lookup,00,11,1,1,11,True
negative-calibration-study04,r001,reference-chain,00,11,1,1,11,True
negative-calibration-study04,r002,record-updates,00,00,1,1,00,False
negative-calibration-study04,r003,record-lookup,11,00,1,1,11,True
negative-calibration-study04,r004,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r005,record-updates,00,00,1,1,00,False
negative-calibration-study04,r006,record-lookup,11,11,1,1,11,True
negative-calibration-study04,r007,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r008,record-updates,00,00,1,1,00,False
negative-calibration-study04,r009,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r010,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r011,record-updates,00,00,1,1,00,False
negative-calibration-study04,r012,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r013,reference-chain,00,11,1,1,11,True
negative-calibration-study04,r014,record-updates,00,00,1,1,00,False
negative-calibration-study04,r015,record-lookup,00,11,1,1,11,True
negative-calibration-study04,r016,reference-chain,00,11,1,1,11,True
negative-calibration-study04,r017,record-updates,00,00,1,1,00,False
negative-calibration-study04,r018,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r019,reference-chain,00,11,1,1,11,True
negative-calibration-study04,r020,record-updates,00,00,1,1,00,False
negative-calibration-study04,r021,record-lookup,11,11,1,1,11,True
negative-calibration-study04,r022,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r023,record-updates,00,00,1,1,00,False
negative-calibration-study04,r024,record-lookup,11,00,1,1,11,True
negative-calibration-study04,r025,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r026,record-updates,00,00,1,1,00,False
negative-calibration-study04,r027,record-lookup,00,11,1,1,11,True
negative-calibration-study04,r028,reference-chain,00,00,1,1,00,False
negative-calibration-study04,r029,record-updates,00,00,1,1,00,False
negative-calibration-study04,r030,record-lookup,00,00,1,1,00,False
negative-calibration-study04,r031,reference-chain,00,00,1,1,00,False
