study,phase,mechanism,pair_index,request_id,family,full_correct,candidate_correct,outcome,oracle_correct
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r000,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r001,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r002,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r003,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r004,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r005,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r006,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r007,reference-chain,True,False,full_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r000,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r001,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r002,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r003,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r004,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r005,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r006,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r007,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r000,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r001,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r002,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r003,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r004,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r005,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r006,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r007,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r000,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r001,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r002,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r003,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r004,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r005,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r006,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r007,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r000,record-lookup,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r001,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r002,record-updates,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r003,record-lookup,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r004,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r005,record-updates,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r006,record-lookup,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r007,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r008,record-updates,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r009,record-lookup,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r010,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r011,record-updates,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r012,record-lookup,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r013,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r014,record-updates,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r015,record-lookup,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r016,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r017,record-updates,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r018,record-lookup,True,True,both_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r019,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r020,record-updates,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r021,record-lookup,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r022,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r023,record-updates,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r024,record-lookup,True,False,full_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r025,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r026,record-updates,False,True,candidate_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r027,record-lookup,True,True,both_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r028,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r029,record-updates,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r030,record-lookup,True,False,full_only_correct,True
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,0,r031,reference-chain,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,1,r000,record-lookup,False,False,both_wrong,False
negative-fit-study04,DEVELOPMENT,dependency-slice-v1,1,r001,reference-chain,False,False,both_wrong,False
