study,phase,mechanism,pair_index,request_id,family,full_correct,candidate_correct,outcome,oracle_correct
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r000,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r001,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r002,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r003,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r004,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r005,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r006,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,0,r007,reference-chain,True,False,full_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r000,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r001,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r002,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r003,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r004,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r005,reference-chain,False,True,candidate_only_correct,True
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r006,reference-chain,False,False,both_wrong,False
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,1,r007,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r000,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r001,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r002,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r003,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r004,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r005,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r006,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,0,r007,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r000,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r001,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r002,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r003,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r004,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r005,reference-chain,True,False,full_only_correct,True
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r006,reference-chain,False,False,both_wrong,False
clarification-0.5b-study04,DEVELOPMENT,explicit-grammar-v2,1,r007,reference-chain,False,False,both_wrong,False
