case_id,model_profile,mechanism,family,context_records,seed,split,purpose,attempt_id,arm,pair_index,concurrency,request_id,table_sha256,table_index,within_table_position,first_query_of_table,observed,status,correct,expected,output,output_token_ids,input_token_ids_sha256,input_tokens,native_reused_tokens,native_new_tokens,native_prompt_ms,native_generation_ms,generated_tokens,client_end_to_end_ns,client_queue_before_dispatch_ns,native_request_proxy_ns,client_ttft_ns,original_prompt_characters,original_prompt_sha256,transformed_prompt_characters,intervention_duration_ns,intervention_decision
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r000,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,0,True,True,SUCCEEDED,False,DHQGX,DQGX,"[35, 48, 84432, 151645]",409cb68e1b9341ca4a62cbb2318b75e023d7c6955baa51ec7ad3ef7d9ed297d4,278,0,278,1686.438,77.906,4,2301777228,529580110,1772197118,2230748704,643,95afa2d28e279b3a95f209e7609794e9454e43ad394154a212122800f6f4a171,643,36067,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r001,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,1,False,True,SUCCEEDED,False,DVZRV,DOWUV,"[35, 3307, 22246, 151645]",513ecabb26a53d78cd32e87d52b8412b11a3486ade58fd2e2cb2182d0862d5e5,278,267,11,93.536,77.652,4,2756586110,2578049685,178536425,2686635451,643,5142e44ff20077c11c72b9bbfd881a296332f5772d8881fa5f778a15eb2326a5,643,15589,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r002,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,2,False,True,SUCCEEDED,False,DUETA,DRLQZ,"[35, 4728, 48, 57, 151645]",6290ba1bde0f75670f9566d35b9116d5c78494211a0c670e5b9e2486306df56b,278,266,12,99.462,102.821,5,2971006706,2760821560,210185146,2876989062,643,6b337b6e1716946b782bf76ffe735332e5a34a0105a91c156092e38bde9f0a8f,643,13665,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r003,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,3,False,True,SUCCEEDED,False,DKACG,DWSJC,"[35, 7433, 58367, 151645]",472f2dc0c19b1370ece26cfcb7c4632bd27e418edaeab5e19729e4cb127a671d,279,266,13,106.599,77.45,4,3170640171,2979215127,191425044,3112476782,643,330e0f0ed7e7731d831e49e47e5c09fd9bf4377a8faad5d712c49911c4dfe32c,643,10640,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r004,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,4,False,True,SUCCEEDED,True,DOWUV,DOWUV,"[35, 3307, 22246, 151645]",047a3df4e8d8eadd8835726c417aaad9ffc421b200cce0a297a167883e36eb39,278,266,12,97.77,77.758,4,3728108555,3541933959,186174596,3660491888,643,1660a3f24e4a9f16162e4e373f30fe516d2a8d72ba5f53a74ada96f141abee13,643,10629,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r005,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,5,False,True,SUCCEEDED,False,DCYHN,DQGCF,"[35, 48, 38, 9650, 151645]",32d3262fb73e0e14beb2fd54e451d9d80cb66b6be62456d05e9cdeecfc9f0b98,277,266,11,92.178,105.495,5,3936987971,3732051661,204936310,3850391865,643,a0361b15664ed433c45e4c9ff6654a666ec70305791cda9267912fe3ed259363,643,10519,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r006,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,6,False,True,SUCCEEDED,False,DHRAE,DGAEN,"[35, 16128, 953, 151645]",523a99e98b1d1223750a6d7570ea35fff3d9c9abc75828f8ea24d3ba0e36bdb0,278,266,12,99.677,78.912,4,4130811077,3944809553,186001524,4068275102,643,f13a8ddb3ce8ab74064bd14c6ed8518e599a4d673f4fa45968b98f41750f11c4,643,10900,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-be5e5948f72a445aabaa85c068208136,baseline,0,1,r007,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,7,False,True,SUCCEEDED,False,DJCAK,DVGPE,"[35, 46641, 1740, 151645]",4e24093feb41f31023523c0638c2f724386e9cf91af32f76c99a8dc14cf247e8,278,266,12,97.911,77.931,4,4737768582,4554889357,182879225,4669226814,643,b8d536dc6716e9044c44cfcb21bc6bbf711b9d01aede84861ebfb2f07c8c773e,643,10630,IDENTITY
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-e3062f1adbe444078edd4548b198a9e0,candidate,0,1,r000,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,0,True,True,SUCCEEDED,True,DHQGX,DHQGX,"[51326, 48, 84432, 151645]",ca31958d5b81fe4079a29eaaf2c1dac0bfc0f97c0ecfaa1de053245a3274540d,92,0,92,566.587,73.866,4,1165632193,515788321,649843872,1098206752,643,95afa2d28e279b3a95f209e7609794e9454e43ad394154a212122800f6f4a171,229,83135,CERTIFIED_SLICE
d1-small-reuse24,qwen2.5-0.5b-instruct-fp16-v2,slice-versus-full-cache-v1,record-reuse,24,940101,development,DEVELOPMENT,attempt-e3062f1adbe444078edd4548b198a9e0,candidate,0,1,r001,9db71a904d6ba17ac26b341aa3c05c7e729eaed18bd0d5986039c4e05dfa4a0f,0,1,False,True,SUCCEEDED,False,DVZRV,DWSJC,"[35, 7433, 58367, 151645]",3e5f006bdb19f29f57642367e20997626f4b0cfe9e5a6b4ad9285f63d5a5f767,92,71,21,149.495,74.955,4,1794272788,1561706403,232566385,1738152019,643,5142e44ff20077c11c72b9bbfd881a296332f5772d8881fa5f778a15eb2326a5,229,39855,CERTIFIED_SLICE
