study,request_id,family,full_correct_sequence,candidate_correct_sequence,full_unique_outputs,candidate_unique_outputs,per_pair_union_sequence,conservative_oracle_correct
feasibility-14b-study03,r000,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r001,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r002,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r003,reference-chain,00,11,1,1,11,True
feasibility-14b-study03,r004,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r005,reference-chain,00,11,1,1,11,True
feasibility-14b-study03,r006,reference-chain,00,00,1,1,00,False
feasibility-14b-study03,r007,reference-chain,11,00,1,1,11,True
clarification-0.5b-study04,r000,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r001,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r002,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r003,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r004,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r005,reference-chain,11,00,1,1,11,True
clarification-0.5b-study04,r006,reference-chain,00,00,1,1,00,False
clarification-0.5b-study04,r007,reference-chain,00,00,1,1,00,False
